id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
25761,Gears of War,2006-11-07,8.83,https://www.mobygames.com/game/25761/gears-of-war/,"Xbox 360, Xbox One","Action, Sci-fi / futuristic, Shooter, Behind view","Epic Games, Inc.",Microsoft Corporation
170037,Psychonauts 2,2021-08-24,8.83,https://www.mobygames.com/game/170037/psychonauts-2/,"Windows, PlayStation 4, Xbox One, Xbox Series, Windows Apps, Linux, Macintosh","Action, Sci-fi / futuristic, Platform, Puzzle elements, 3rd-person (Other), Behind view, Direct control","Double Fine Productions, Inc.",Microsoft Corporation
33378,Super Smash Bros. Brawl,2008-01-31,8.82,https://www.mobygames.com/game/33378/super-smash-bros-brawl/,Wii,"Action, Side view, Fighting","Game Arts Co., Ltd., Sora Ltd.","Nintendo Co., Ltd."
188601,Xenoblade Chronicles 3,2022-07-29,8.82,https://www.mobygames.com/game/188601/xenoblade-chronicles-3/,Nintendo Switch,"Real-time, Role-playing (RPG), Anime / Manga, Fantasy, 3rd-person (Other), Japanese-style RPG (JRPG), Sandbox / open world, Action RPG","Monolith Software, Inc.","Nintendo of America Inc., Nintendo Co., Ltd."
11216,Project Gotham Racing 2,2003-11-17,8.82,https://www.mobygames.com/game/11216/project-gotham-racing-2/,Xbox,"Racing / Driving, 1st-person, Behind view, Direct control, Automobile, Street racing","Bizarre Creations, Ltd.",Microsoft Corporation
7783,Metroid Prime,2002-11-18,8.82,https://www.mobygames.com/game/7783/metroid-prime/,"GameCube, Wii","Action, 1st-person, Sci-fi / futuristic, Shooter, Metroidvania, Direct control",Retro Studios Inc.,"Nintendo Co., Ltd."
67674,The Last of Us: Remastered,2014-07-29,8.82,https://www.mobygames.com/game/67674/the-last-of-us-remastered/,PlayStation 4,"Action, Shooter, Post-apocalyptic, Compilation, Stealth, Survival horror, Behind view, Direct control, Quick Time Events (QTEs), Regional differences","Naughty Dog, Inc.","Sony Computer Entertainment America LLC, SCE Worldwide Studios, Sony Computer Entertainment Inc., Sony Computer Entertainment Europe Ltd."
55167,Journey,2012-03-13,8.82,https://www.mobygames.com/game/55167/journey/,"Windows, PlayStation 3, iPhone, PlayStation 4, iPad","Action, Adventure, Platform, Meditative / Zen, Fantasy, Behind view, Direct control","thatgamecompany, LLC","Sony Computer Entertainment Europe Ltd., Sony Interactive Entertainment Inc., Sony Computer Entertainment (Shanghai) Co., Ltd., Annapurna Games, LLC, Sony Computer Entertainment America LLC"
174940,Forza Horizon 5,2021-11-09,8.81,https://www.mobygames.com/game/174940/forza-horizon-5/,"Windows, Windows Apps, Xbox One, Xbox Series","Racing / Driving, 1st-person, Off-roading, Behind view, Direct control, Automobile, Street racing, Contemporary, North America",Playground Games Ltd,Microsoft Corporation
6627,Super Metroid,1994-03-19,8.81,https://www.mobygames.com/game/6627/super-metroid/,"SNES, Wii, Wii U, New Nintendo 3DS, Nintendo Switch","Action, Sci-fi / futuristic, Side view, Platform, Shooter, Metroidvania, 2D scrolling","Intelligent Systems Co., Ltd., Nintendo R&D1","Nintendo Co., Ltd."
34773,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,8.81,https://www.mobygames.com/game/34773/metal-gear-solid-4-guns-of-the-patriots/,"PlayStation 3, PlayStation Now","Action, 1st-person, Shooter, Spy / espionage, Stealth, Behind view, Direct control, Contemporary","Kojima Productions Co., Ltd.","Konami Digital Entertainment Co., Ltd."
29294,Forza Motorsport 2,2007-05-15,8.81,https://www.mobygames.com/game/29294/forza-motorsport-2/,Xbox 360,"Racing / Driving, 1st-person, Licensed, Behind view, Direct control, Automobile, Street racing, Contemporary",Turn 10 Studios,"ak tronic Software & Services GmbH, Microsoft Corporation"
149407,Microsoft Flight Simulator,2020-08-18,8.81,https://www.mobygames.com/game/149407/microsoft-flight-simulator/,"Windows, Windows Apps, Xbox Series, Xbox Cloud Gaming","Simulation, 1st-person, Flight / aviation, 3rd-person (Other), Vehicle simulator, Direct control",Asobo Studio S.A.R.L.,Microsoft Corporation
21633,Metal Gear Solid 3: Subsistence,2005-12-22,8.81,https://www.mobygames.com/game/21633/metal-gear-solid-3-subsistence/,"PlayStation 2, PlayStation 3, PS Vita","Action, 1st-person, Shooter, Martial arts, Spy / espionage, Stealth, Behind view, Direct control, Cold War","Kojima Productions Co., Ltd.","Konami Corporation, Konami Digital Entertainment Co., Ltd."
39411,Rock Band 2,2008-09-14,8.8,https://www.mobygames.com/game/39411/rock-band-2/,"PlayStation 2, Xbox 360, PlayStation 3, Wii","Action, Simulation, Music / rhythm, 3rd-person (Other), Cinematic camera","Harmonix Music Systems, Inc.",MTV Games
64620,Rayman Legends,2013-08-30,8.8,https://www.mobygames.com/game/64620/rayman-legends/,"Windows, Xbox 360, PlayStation 3, PS Vita, Wii U, PlayStation 4, Xbox One, Nintendo Switch, Stadia","Action, Side view, Platform, 2D scrolling, Mini-games","Ubisoft Montpellier SAS, Ubisoft SARL","Ubisoft Entertainment SA, ak tronic Software & Services GmbH, Bihan Internet Technology"
210733,Marvel Spider-Man 2,2023-10-19,8.8,https://www.mobygames.com/game/210733/marvel-spider-man-2/,PlayStation 5,"Action, Fantasy, Licensed, Behind view, 2D scrolling, Sandbox / open world, Direct control, North America","Insomniac Games, Inc.","Sony Interactive Entertainment Inc., Sony Interactive Entertainment Europe Ltd., Sony Interactive Entertainment America LLC"
44900,Mass Effect 2,2010-01-26,8.8,https://www.mobygames.com/game/44900/mass-effect-2/,"Windows, Xbox 360, Xbox One","Sci-fi / futuristic, Shooter, Role-playing (RPG), Behind view, Action RPG, Direct control, Quick Time Events (QTEs)",BioWare Edmonton,"ak tronic Software & Services GmbH, Electronic Arts, Inc."
24865,Guitar Hero II,2006-11-07,8.8,https://www.mobygames.com/game/24865/guitar-hero-ii/,"PlayStation 2, Xbox 360","Action, Music / rhythm, 3rd-person (Other), Cinematic camera","Harmonix Music Systems, Inc.","RedOctane, Inc., Activision Publishing, Inc."
77737,Dark Souls III,2016-03-24,8.8,https://www.mobygames.com/game/77737/dark-souls-iii/,"Windows, PlayStation 4, Xbox One","Role-playing (RPG), Hack and slash, Fantasy, Behind view, Action RPG, Direct control","FromSoftware, Inc.","BANDAI NAMCO Entertainment Inc., FromSoftware, Inc."
169624,Ghost of Tsushima: Director's Cut,2021-08-20,8.8,https://www.mobygames.com/game/169624/ghost-of-tsushima-directors-cut/,"Windows, PlayStation 4, PlayStation 5","Action, Stealth, War, Behind view, Sandbox / open world, RPG elements, Direct control, Japan (Ancient/Classical/Medieval)",Sucker Punch Productions LLC,"Sony Interactive Entertainment America LLC, Sony Interactive Entertainment Europe Ltd."
42472,The Beatles: Rock Band,2009-09-09,8.79,https://www.mobygames.com/game/42472/the-beatles-rock-band/,"Xbox 360, PlayStation 3, Wii","Action, Simulation, Licensed, Music / rhythm, 3rd-person (Other), Cinematic camera, Direct control","Harmonix Music Systems, Inc.",MTV Games
53611,Uncharted 3: Drake's Deception,2011-11-01,8.79,https://www.mobygames.com/game/53611/uncharted-3-drakes-deception/,PlayStation 3,"Action, Platform, Shooter, Puzzle elements, Stealth, 3rd-person (Other), Behind view, Cinematic camera, Direct control, Contemporary, Europe, Middle East, Quick Time Events (QTEs)","Naughty Dog, Inc.","Sony Computer Entertainment America LLC, Sony Computer Entertainment Inc."
